id,id_model,id_train,ds_size,urban_region,country,continent,id_dataset,urban_type,density,roof_type,
1,51,364,399,Kakuma,Kenya,Africa,58,refugee camp,sparse,metal,
2,95,370,168,Denver,USA,America North,135,peri-urban,grid,shingles,
3,97,372,420,Montevideo,Uruguay,America South,137,urban,grid,cement,
4,98,373,399,Montevideo dense,Uruguay,America South,138,urban,dense,cement,
5,102,391,231,Kutupalong,Bangladesh,Asia,144,refugee camp,dense,mixed,
6,110,394,504,Gornja Rijeka,Croatia,Europe,157,rural,sparse,shingles,
7,112,397,756,Melbourne,Australia,Oceania,171,urban,grid,cement,
8,113,398,152,Pemba,Tanzania,Africa,170,rural,sparse,metal,
9,114,399,294,Christchurch,New Zealand,Oceania,177,peri-urban,sparse,shingles,
10,134,456,147,Pergamino,Argentina,America South,197,peri-urban,grid,mixed,
11,135,459,105,Silvania,Brazil,America South,198,rural,sparse,shingles,
12,136,462,147,Desa Kulaba,Indonesia,Asia,199,rural,sparse,metal,
13,137,463,168,Roseau,Dominica,America Central,201,peri-urban,sparse,mixed,
14,147,485,147,Pallabi Dhaka,Bangladesh,Asia,204,urban,dense,mixed,
15,148,488,168,Dhaka,Bangladesh,Asia,213,urban,dense,mixed,
16,149,489,147,Ggaba,Uganda,Africa,205,peri-urban,dense,mixed,
17,108,529,546,Inagi,Japan,Asia,153,peri-urban,sparse,mixed,
18,158,508,226,Tchiniambi,DRC,Africa,226,peri-urban,dense,metal,
19,168,539,672,Staraya Russa,Russia,Europe,244,rural,sparse,mixed,
20,162,530,189,Banyuwangi,Indonesia,Asia,229,urban,dense,shingles,Difficult to map
21,166,526,672,Dzaleka,Malawi,Africa,243,refugee camp,dense,metal,
22,163,523,252,Bogota,Colombia,America South,51,urban,grid,mixed,
23,164,524,315,Soudure,Niger,Africa,231,rural,dense,mixed,
24,165,525,420,Quincy,USA,America North,236,peri-urban,grid,shingles,
25,167,528,756,Ngaoundere,Cameroon,Africa,239,peri-urban,grid,metal,
